11800.5,12559000000.0,198395021212,16812425.0,16812425.0,1.14,-0.39,-15.39,16094.25687172,11589.38,11632.68,11640.17,11636.43
11794.0,12465900000.0,198285740450,16812425.0,16812425.0,0.88,-0.37,-15.41,16022.53316432,11588.33,11677.25,11682.76,11680.0
11819.8,12414200000.0,198719796510,16812450.0,16812450.0,0.95,0.08,-15.2,15908.68762420,11586.67,11636.55,11644.66,11640.61
11811.3,12383900000.0,198576890685,16812450.0,16812450.0,0.92,0.16,-15.24,15817.09391522,11585.10,11629.44,11632.96,11631.2
11800.0,12324100000.0,198388090000,16812550.0,16812550.0,0.57,0.26,-15.3,15590.79849079,11581.04,11618.04,11623.67,11620.86
11787.3,12304400000.0,198174570615,16812550.0,16812550.0,0.35,0.21,-15.38,15517.51407957,11579.06,11511.91,11516.07,11513.99
11709.2,12205300000.0,196861803190,16812575.0,16812575.0,-0.56,-0.41,-15.92,15419.43919265,11575.89,11481.82,11485.94,11483.88
11674.0,12144000000.0,196270000550,16812575.0,16812575.0,-1.07,-0.58,-16.14,15457.54489716,11573.13,11411.79,11418.71,11415.25
11581.3,12051100000.0,194712343445,16812650.0,16812650.0,-1.87,-1.26,-16.79,15750.15460004,11566.28,11335.33,11342.42,11338.88
11527.7,12036400000.0,193811185405,16812650.0,16812650.0,-2.39,-1.61,-17.15,15809.10221096,11562.63,11300.24,11304.01,11302.13
11474.2,11879600000.0,192911995485,16812675.0,16812675.0,-2.76,-2.04,-17.52,15623.50673193,11558.55,11236.35,11243.37,11239.86
11451.3,11901900000.0,192526985228,16812675.0,16812675.0,-2.83,-2.2,-17.68,15588.20725245,11554.07,11263.16,11267.45,11265.31
11439.0,11863300000.0,192320189325,16812675.0,16812675.0,-2.63,-2.3,-17.77,15457.48688150,11551.59,11274.19,11277.73,11275.96
11466.1,11854900000.0,192776386122,16812725.0,16812725.0,-1.9,-2.09,-17.57,15436.56027934,11548.13,11198.2,11204.24,11201.22
11403.8,11751100000.0,191728953355,16812725.0,16812725.0,-1.72,-2.66,-18.0,15513.86255319,11541.04,11135.91,11139.66,11137.78
11335.0,11744000000.0,190572237875,16812725.0,16812725.0,-2.2,-3.27,-18.49,15704.93697744,11531.73,11198.19,11205.33,11201.76
11306.6,11736100000.0,190094756485,16812725.0,16812725.0,-1.9,-3.5,-18.7,15737.17925127,11528.98,11262.29,11269.3,11265.8
11396.1,11823300000.0,191599917028,16812762.0,16812762.0,-0.73,-2.78,-18.04,15551.80260454,11524.28,11222.64,11226.66,11224.65
11405.4,11785800000.0,191756275715,16812762.0,16812762.0,-0.44,-2.84,-17.98,15546.96832297,11521.23,11291.85,11298.74,11295.3
11453.3,11880100000.0,192561755908,16812775.0,16812775.0,0.02,-2.57,-17.64,15583.91648356,11519.67,11269.85,11279.39,11274.62
11462.8,11854700000.0,192721477270,16812775.0,16812775.0,0.17,-2.52,-17.58,15594.66620833,11518.36,11192.49,11194.06,11193.28
11449.4,11835200000.0,192496186085,16812775.0,16812775.0,0.49,-2.89,-17.69,15627.31071341,11515.94,11190.79,11199.06,11194.93
11381.1,11785200000.0,191348863708,16812862.0,16812862.0,0.22,-3.64,-18.19,15618.97394799,11513.22,11202.62,11207.45,11205.04
11385.7,11802200000.0,191426202873,16812862.0,16812862.0,0.24,-3.78,-18.17,15597.29278978,11511.50,11249.22,11251.42,11250.32
11431.6,11760900000.0,192198484819,16812912.0,16812912.0,0.42,-3.51,-17.87,15589.78890241,11510.38,11257.84,11266.26,11262.05
11427.4,11767800000.0,192127870589,16812912.0,16812912.0,-0.08,-3.62,-17.91,15533.31371443,11508.02,11173.84,11181.27,11177.56
11411.5,11733700000.0,191860545288,16812912.0,16812912.0,-0.23,-3.78,-18.04,15404.57970825,11502.56,11246.21,11252.63,11249.42
11417.4,11722100000.0,191959741469,16812912.0,16812912.0,-0.21,-3.77,-18.01,15306.43758225,11499.71,11221.79,11225.09,11223.44
11408.9,11677000000.0,191817116939,16812937.0,16812937.0,-0.02,-3.8,-18.1,15238.51332698,11495.80,11211.93,11216.84,11214.39
